,Ensemble,Activation function,# of hidden layers,Neurons per layer,Accuracy,Precision,Recall,F1
0,ridge,identity,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
1,ridge,identity,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
2,ridge,identity,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
3,ridge,identity,10,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
4,ridge,identity,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
5,ridge,identity,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
6,ridge,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
7,ridge,identity,25,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
8,ridge,identity,25,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
9,ridge,logistic,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
10,ridge,logistic,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
11,ridge,logistic,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
12,ridge,logistic,10,1,0.48971915747241723,0.0,0.0,0.0
13,ridge,logistic,10,10,0.48971915747241723,0.0,0.0,0.0
14,ridge,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
15,ridge,logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
16,ridge,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
17,ridge,logistic,25,20,0.48971915747241723,0.0,0.0,0.0
18,ridge,tanh,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
19,ridge,tanh,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
20,ridge,tanh,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
21,ridge,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
22,ridge,tanh,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
23,ridge,tanh,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
24,ridge,tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
25,ridge,tanh,25,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
26,ridge,tanh,25,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
27,ridge,relu,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
28,ridge,relu,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
29,ridge,relu,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
30,ridge,relu,10,1,0.48971915747241723,0.0,0.0,0.0
31,ridge,relu,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
32,ridge,relu,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
33,ridge,relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
