,K,Accuracy,Precision,Recall,F1
0,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
1,2,0.872617853560682,0.935042735042735,0.8063882063882064,0.8659630606860159
2,3,0.8884152457372116,0.8822115384615384,0.9017199017199017,0.8918590522478735
3,4,0.8791374122367102,0.908899420747762,0.8481572481572481,0.8774783934926284
4,5,0.873370110330993,0.8584817244611059,0.9002457002457003,0.8788678340129529
5,6,0.8731193580742227,0.8824412206103052,0.8668304668304668,0.8745661874070401
6,7,0.8683550651955868,0.8488909426987061,0.9027027027027027,0.8749702310073827
7,8,0.8676028084252758,0.8673817649926865,0.8742014742014742,0.8707782672540381
8,9,0.8615847542627884,0.8356722498868266,0.9071253071253071,0.8699340245051839
9,10,0.8595787362086259,0.8543969245555022,0.8737100737100737,0.8639455782312925
10,11,0.8555667001003009,0.8263982102908277,0.9076167076167077,0.8651053864168619
11,12,0.8550651955867603,0.8437942425672487,0.8786240786240787,0.8608570052961002
12,13,0.8472918756268807,0.8160460992907801,0.9046683046683047,0.8580750407830342
13,14,0.8485456369107321,0.8326359832635983,0.8800982800982801,0.8557095078834209
14,15,0.843530591775326,0.8117543084401238,0.9027027027027027,0.8548161935784085
