,Activation function,# of hidden layers,Neurons per layer,Accuracy,Precision,Recall,F1
0,identity,1,1,0.9072216649949849,0.9177119919719017,0.8987714987714988,0.9081429990069513
1,identity,1,10,0.899197592778335,0.9326974032856385,0.8648648648648649,0.8975012748597655
2,identity,1,20,0.9029588766298897,0.9007782101167315,0.9100737100737101,0.9054021021755072
3,identity,10,1,0.90320962888666,0.9000485201358563,0.9115479115479116,0.90576171875
4,identity,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
5,identity,10,20,0.9167502507522568,0.9060562708631378,0.9336609336609336,0.9196515004840271
6,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
7,identity,25,10,0.9210130391173521,0.9330312185297079,0.9105651105651106,0.9216612782889828
8,identity,25,20,0.906469408224674,0.9521218715995647,0.85995085995086,0.903692228246837
9,logistic,1,1,0.9137412236710131,0.9255158530447911,0.9036855036855037,0.914470412729985
10,logistic,1,10,0.9067201604814443,0.9244512506380806,0.88992628992629,0.9068602904356536
11,logistic,1,20,0.9067201604814443,0.9155422288855573,0.9002457002457003,0.9078295341922696
12,logistic,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
13,logistic,10,10,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
14,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
15,logistic,25,1,0.48971915747241723,0.0,0.0,0.0
16,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
17,logistic,25,20,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
18,tanh,1,1,0.9097291875626881,0.9172894867962132,0.9046683046683047,0.9109351806036616
19,tanh,1,10,0.899197592778335,0.9326974032856385,0.8648648648648649,0.8975012748597655
20,tanh,1,20,0.899197592778335,0.9237156201349248,0.8746928746928747,0.8985360928823827
21,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
22,tanh,10,10,0.9157472417251755,0.9145924841386042,0.9208845208845209,0.9177277179236043
23,tanh,10,20,0.9147442326980942,0.9201784828953892,0.912039312039312,0.9160908193484698
24,tanh,25,1,0.48971915747241723,0.0,0.0,0.0
25,tanh,25,10,0.9102306920762286,0.9132577624445539,0.9105651105651106,0.9119094488188977
26,tanh,25,20,0.9154964894684052,0.9190523198420533,0.914987714987715,0.9170155134203398
27,relu,1,1,0.9157472417251755,0.9318759532282664,0.9007371007371008,0.9160419790104948
28,relu,1,10,0.9067201604814443,0.9205867475973698,0.8943488943488943,0.9072781655034896
29,relu,1,20,0.9042126379137412,0.9159536990437847,0.8943488943488943,0.905022376926902
30,relu,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
31,relu,10,10,0.9190070210631895,0.9175609756097561,0.9243243243243243,0.9209302325581397
32,relu,10,20,0.9159979939819458,0.9122211445198836,0.9243243243243243,0.918232853307298
33,relu,25,1,0.48971915747241723,0.0,0.0,0.0
34,relu,25,10,0.48971915747241723,0.0,0.0,0.0
35,relu,25,20,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
